"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2024","18,007.57","17,923.64","18,040.99","17,839.76","1.04B","1.58%"
"07/19/2024","17,726.94","17,835.59","17,935.14","17,691.43","1.12B","-0.81%"
"07/18/2024","17,871.22","18,119.15","18,130.87","17,759.54","1.13B","-0.70%"
"07/17/2024","17,996.93","18,188.19","18,223.24","17,972.87","1.26B","-2.77%"
"07/16/2024","18,509.34","18,534.27","18,576.83","18,386.07","1.12B","0.20%"
"07/15/2024","18,472.57","18,485.91","18,641.53","18,397.83","1.08B","0.40%"
"07/12/2024","18,398.45","18,303.64","18,556.73","18,293.60","1.10B","0.63%"
"07/11/2024","18,283.41","18,659.25","18,671.07","18,238.78","1.23B","-1.95%"
"07/10/2024","18,647.45","18,512.09","18,655.19","18,467.58","971.36M","1.18%"
"07/09/2024","18,429.29","18,465.02","18,511.89","18,381.60","914.80M","0.14%"
"07/08/2024","18,403.74","18,371.86","18,416.94","18,342.60","984.76M","0.28%"
"07/05/2024","18,352.76","18,200.60","18,366.31","18,197.13","963.80M","0.90%"
"07/03/2024","18,188.30","18,016.12","18,188.30","18,016.12","692.06M","0.88%"
"07/02/2024","18,028.76","17,808.04","18,031.29","17,802.24","932.12M","0.84%"
"07/01/2024","17,879.30","17,773.90","17,894.28","17,657.64","1.03B","0.83%"
"06/28/2024","17,732.60","17,891.10","18,035.00","17,723.83","3.78B","-0.71%"
"06/27/2024","17,858.68","17,793.95","17,892.78","17,765.42","1.05B","0.30%"
"06/26/2024","17,805.16","17,697.27","17,813.55","17,687.07","1.04B","0.49%"
"06/25/2024","17,717.65","17,572.16","17,734.35","17,546.63","1.08B","1.26%"
"06/24/2024","17,496.82","17,640.26","17,730.12","17,494.02","1.14B","-1.09%"